Modeles avec overshooting et nouvelles opacites, Z=0.004, 1 X Mdot, Charbonnel e

  21   51

 1 4.0003043E+04  39.9993 5.335 4.662 0.744000 0.252000 0.000973 0.000247 0.002107  4.662 -7.308
 2 1.3410446E+06  39.9132 5.401 4.648 0.744000 0.252000 0.000973 0.000247 0.002107  4.648 -7.092
 3 2.0677838E+06  39.8452 5.442 4.641 0.744000 0.252000 0.000973 0.000247 0.002107  4.641 -6.967
 4 2.6798290E+06  39.7669 5.479 4.630 0.744000 0.252000 0.000973 0.000247 0.002107  4.630 -6.823
 5 3.2222835E+06  39.6690 5.516 4.615 0.744000 0.252000 0.000973 0.000247 0.002107  4.615 -6.665
 6 3.7099635E+06  39.5382 5.551 4.594 0.744000 0.252000 0.000973 0.000247 0.002107  4.594 -6.479
 7 4.1160465E+06  39.3716 5.584 4.568 0.744000 0.252000 0.000973 0.000247 0.002107  4.568 -6.300
 8 4.3954515E+06  39.2052 5.608 4.541 0.744000 0.252000 0.000973 0.000247 0.002107  4.541 -6.155
 9 4.6394975E+06  39.0042 5.631 4.507 0.744000 0.252000 0.000973 0.000247 0.002107  4.507 -6.020
10 4.7877750E+06  38.8477 5.646 4.480 0.744000 0.252000 0.000973 0.000247 0.002107  4.480 -5.940
11 4.9479925E+06  38.6450 5.664 4.450 0.744000 0.252000 0.000973 0.000247 0.002107  4.450 -5.864
12 4.9944755E+06  38.5810 5.680 4.472 0.744000 0.252000 0.000973 0.000247 0.002107  4.472 -5.868
13 4.9970130E+06  38.5775 5.694 4.493 0.744000 0.252000 0.000973 0.000247 0.002107  4.493 -5.876
14 4.9981755E+06  38.5760 5.701 4.504 0.744000 0.252000 0.000973 0.000247 0.002107  4.504 -5.885
15 5.0018935E+06  38.5705 5.723 4.421 0.744000 0.252000 0.000973 0.000247 0.002107  4.421 -5.734
16 5.0031655E+06  38.5679 5.734 4.359 0.744000 0.252000 0.000973 0.000247 0.002107  4.359 -5.679
17 5.0042790E+06  38.5655 5.741 4.294 0.744000 0.252000 0.000973 0.000247 0.002107  4.294 -5.632
18 5.0052170E+06  38.5631 5.747 4.232 0.744000 0.252000 0.000973 0.000247 0.002107  4.232 -5.567
19 5.0061255E+06  38.5604 5.753 4.169 0.744000 0.252000 0.000973 0.000247 0.002107  4.169 -5.471
20 5.0070915E+06  38.5565 5.760 4.105 0.744000 0.252000 0.000973 0.000247 0.002107  4.105 -5.333
21 5.0107625E+06  38.5214 5.772 3.952 0.744000 0.252000 0.000973 0.000247 0.002107  3.952 -4.849
22 5.0205700E+06  38.3516 5.774 3.916 0.744000 0.252000 0.000973 0.000247 0.002107  3.916 -4.717
23 5.0372445E+06  37.9732 5.773 3.877 0.744000 0.252000 0.000973 0.000247 0.002107  3.877 -4.578
24 5.0541875E+06  37.4584 5.772 3.849 0.744000 0.252000 0.000973 0.000247 0.002107  3.849 -4.476
25 5.0704580E+06  36.8758 5.770 3.834 0.744000 0.252000 0.000973 0.000247 0.002107  3.834 -4.426
26 5.0880305E+06  36.1874 5.769 3.823 0.744000 0.252000 0.000973 0.000247 0.002107  3.823 -4.392
27 5.1049520E+06  35.4833 5.768 3.818 0.744000 0.252000 0.000973 0.000247 0.002107  3.818 -4.376
28 5.1231750E+06  34.7137 5.767 3.817 0.743999 0.252000 0.000973 0.000247 0.002107  3.817 -4.375
29 5.1416325E+06  33.9391 5.766 3.818 0.743999 0.252001 0.000972 0.000247 0.002107  3.818 -4.381
30 5.1599600E+06  33.2068 5.765 3.826 0.706872 0.289155 0.000758 0.000780 0.001754  3.826 -4.410
31 5.1799535E+06  32.4622 5.764 3.836 0.692568 0.303464 0.000713 0.000909 0.001666  3.836 -4.447
32 5.1998450E+06  32.0730 5.765 3.974 0.621073 0.374987 0.000501 0.001524 0.001246  3.974 -4.940
33 5.2195290E+06  31.8295 5.765 3.952 0.617784 0.378276 0.000491 0.001552 0.001227  3.952 -4.864
34 5.2425935E+06  31.4398 5.764 3.902 0.617615 0.378446 0.000490 0.001554 0.001226  3.902 -4.683
35 5.2643130E+06  30.9382 5.763 3.882 0.615376 0.380685 0.000485 0.001570 0.001216  3.882 -4.612
36 5.2902990E+06  30.4604 5.763 3.943 0.588089 0.407978 0.000412 0.001768 0.001090  3.943 -4.840
37 5.3152025E+06  30.0787 5.763 3.916 0.580608 0.415461 0.000391 0.001825 0.001055  3.916 -4.727
38 5.3447405E+06  29.5017 5.762 3.885 0.573603 0.422467 0.000371 0.001878 0.001023  3.885 -4.625
39 5.3900380E+06  29.0048 5.763 3.975 0.512968 0.483115 0.000195 0.002338 0.000743  3.975 -4.953
40 5.4088700E+06  28.6478 5.761 3.872 0.510183 0.485900 0.000186 0.002359 0.000730  3.872 -4.580
41 5.4225440E+06  28.2779 5.760 3.862 0.482321 0.513767 0.000101 0.002576 0.000602  3.862 -4.498
42 5.4364475E+06  27.8098 5.755 3.817 0.469935 0.526153 0.000057 0.002677 0.000556  3.817 -4.406
43 5.4441125E+06  27.5092 5.748 3.812 0.463694 0.532396 0.000057 0.002690 0.000540  3.812 -4.411
44 5.4468600E+06  27.4082 5.707 3.788 0.453940 0.542170 0.000059 0.002825 0.000383  3.788 -4.452
45 5.4487475E+06  27.3042 5.815 3.783 0.427716 0.568419 0.000061 0.002997 0.000183  3.783 -4.110
46 5.4493355E+06  27.2568 5.826 3.783 0.427716 0.568419 0.000061 0.002997 0.000183  3.783 -4.077
47 5.4493555E+06  27.2551 5.827 3.783 0.427716 0.568419 0.000061 0.002997 0.000183  3.783 -4.074
48 5.4493580E+06  27.2550 5.827 3.783 0.427716 0.568419 0.000061 0.002997 0.000183  3.783 -4.074
49 5.4493590E+06  27.2548 5.826 3.783 0.427715 0.568420 0.000061 0.002997 0.000183  3.783 -4.075
50 5.4493600E+06  27.2548 5.826 3.783 0.427715 0.568420 0.000061 0.002997 0.000183  3.783 -4.075
51 5.4493615E+06  27.2547 5.825 3.783 0.427715 0.568420 0.000061 0.002997 0.000183  3.783 -4.078

   25.00 WR

 1 4.0003043E+04  24.9996 4.861 4.603 0.744000 0.252000 0.000973 0.000247 0.002107  4.603 -7.573
 2 2.0724104E+06  24.9341 4.934 4.589 0.744000 0.252000 0.000973 0.000247 0.002107  4.589 -7.430
 3 3.1789763E+06  24.8888 4.980 4.583 0.744000 0.252000 0.000973 0.000247 0.002107  4.583 -7.346
 4 4.1099795E+06  24.8421 5.024 4.574 0.744000 0.252000 0.000973 0.000247 0.002107  4.574 -7.253
 5 4.9089715E+06  24.7920 5.066 4.562 0.744000 0.252000 0.000973 0.000247 0.002107  4.562 -7.152
 6 5.6050755E+06  24.7360 5.106 4.546 0.744000 0.252000 0.000973 0.000247 0.002107  4.546 -7.039
 7 6.1857035E+06  24.6752 5.144 4.526 0.744000 0.252000 0.000973 0.000247 0.002107  4.526 -6.922
 8 6.5803945E+06  24.6222 5.172 4.506 0.744000 0.252000 0.000973 0.000247 0.002107  4.506 -6.826
 9 6.9229300E+06  24.5649 5.199 4.482 0.744000 0.252000 0.000973 0.000247 0.002107  4.482 -6.731
10 7.1318765E+06  24.5230 5.216 4.464 0.744000 0.252000 0.000973 0.000247 0.002107  4.464 -6.669
11 7.2757415E+06  24.4905 5.229 4.452 0.744000 0.252000 0.000973 0.000247 0.002107  4.452 -6.627
12 7.4051990E+06  24.4589 5.251 4.469 0.744000 0.252000 0.000973 0.000247 0.002107  4.469 -6.616
13 7.4123410E+06  24.4572 5.277 4.496 0.744000 0.252000 0.000973 0.000247 0.002107  4.496 -6.626
14 7.4163365E+06  24.4563 5.281 4.483 0.744000 0.252000 0.000973 0.000247 0.002107  4.483 -6.590
15 7.4182945E+06  24.4557 5.297 4.448 0.744000 0.252000 0.000973 0.000247 0.002107  4.448 -6.502
16 7.4200835E+06  24.4551 5.309 4.407 0.744000 0.252000 0.000973 0.000247 0.002107  4.407 -6.429
17 7.4215470E+06  24.4545 5.317 4.369 0.744000 0.252000 0.000973 0.000247 0.002107  4.369 -6.377
18 7.4230110E+06  24.4538 5.325 4.328 0.744000 0.252000 0.000973 0.000247 0.002107  4.328 -6.323
19 7.4243120E+06  24.4532 5.333 4.292 0.744000 0.252000 0.000973 0.000247 0.002107  4.292 -6.275
20 7.4259385E+06  24.4522 5.344 4.252 0.744000 0.252000 0.000973 0.000247 0.002107  4.252 -6.215
21 7.4291910E+06  24.4500 5.359 4.210 0.744000 0.252000 0.000973 0.000247 0.002107  4.210 -6.138
22 7.4446995E+06  24.4381 5.366 4.195 0.744000 0.252000 0.000973 0.000247 0.002107  4.195 -6.106
23 7.4700805E+06  24.4178 5.367 4.185 0.744000 0.252000 0.000973 0.000247 0.002107  4.185 -6.089
24 7.4965195E+06  24.3958 5.369 4.176 0.744000 0.252000 0.000973 0.000247 0.002107  4.176 -6.073
25 7.5230640E+06  24.3731 5.370 4.171 0.744000 0.252000 0.000973 0.000247 0.002107  4.171 -6.062
26 7.5499595E+06  24.3493 5.372 4.164 0.744000 0.252000 0.000973 0.000247 0.002107  4.164 -6.048
27 7.5774665E+06  24.3243 5.374 4.156 0.744000 0.252000 0.000973 0.000247 0.002107  4.156 -6.033
28 7.6027730E+06  24.3005 5.375 4.149 0.744000 0.252000 0.000973 0.000247 0.002107  4.149 -6.019
29 7.6313800E+06  24.2725 5.377 4.140 0.744000 0.252000 0.000973 0.000247 0.002107  4.140 -6.002
30 7.6577870E+06  24.2456 5.378 4.132 0.744000 0.252000 0.000973 0.000247 0.002107  4.132 -5.984
31 7.6885945E+06  24.2127 5.380 4.119 0.744000 0.252000 0.000973 0.000247 0.002107  4.119 -5.958
32 7.7161015E+06  24.1816 5.381 4.108 0.744000 0.252000 0.000973 0.000247 0.002107  4.108 -5.935
